거래일자,시장구분명,종목코드,종목명,참가자번호(투자자구분코드),매도거래량,매도거래대금,매수거래량,매수거래대금
"20210104","석유시장","KRD040104063","휘-자가상표-인천(보)","A0003","20000","26200000","0","0"
"20210104","석유시장","KRD040104063","휘-자가상표-인천(보)","B0002","0","0","20000","26200000"
"20210104","석유시장","KRD040104154","휘-자가상표-천안","A0002","60000","81000000","0","0"
"20210104","석유시장","KRD040104154","휘-자가상표-천안","C0016","0","0","60000","81000000"
"20210104","석유시장","KRD040104220","휘-자가상표-여수(보)","A0003","360000","471600000","0","0"
"20210104","석유시장","KRD040104220","휘-자가상표-여수(보)","B0004","0","0","360000","471600000"
"20210104","석유시장","KRD040104329","휘-자가상표-울산(보)","A0003","60000","78600000","0","0"
"20210104","석유시장","KRD040104329","휘-자가상표-울산(보)","B0002","0","0","60000","78600000"
"20210104","석유시장","KRD040104550","휘-자가상표-성남","A0002","140000","189000000","0","0"
"20210104","석유시장","KRD040104550","휘-자가상표-성남","C0016","0","0","140000","189000000"
"20210104","석유시장","KRD040104568","휘-자가상표-인천","A0002","140000","189000000","0","0"
"20210104","석유시장","KRD040104568","휘-자가상표-인천","C0016","0","0","140000","189000000"
"20210104","석유시장","KRD040114187","경-자가상표-군산","A0002","100000","115000000","0","0"
"20210104","석유시장","KRD040114187","경-자가상표-군산","C0016","0","0","100000","115000000"
"20210104","석유시장","KRD040114229","경-자가상표-여수(보)","A0003","480000","532800000","0","0"
"20210104","석유시장","KRD040114229","경-자가상표-여수(보)","B0004","0","0","480000","532800000"
"20210104","석유시장","KRD040114328","경-자가상표-울산(보)","A0002","40000","46000000","0","0"
"20210104","석유시장","KRD040114328","경-자가상표-울산(보)","A0003","100000","111000000","0","0"
"20210104","석유시장","KRD040114328","경-자가상표-울산(보)","B0002","0","0","100000","111000000"
"20210104","석유시장","KRD040114328","경-자가상표-울산(보)","C0016","0","0","40000","46000000"
"20210104","석유시장","KRD040114559","경-자가상표-성남","A0002","300000","345000000","0","0"
"20210104","석유시장","KRD040114559","경-자가상표-성남","C0016","0","0","300000","345000000"
"20210104","석유시장","KRD040114567","경-자가상표-인천","A0002","160000","184000000","0","0"
"20210104","석유시장","KRD040114567","경-자가상표-인천","C0016","0","0","160000","184000000"
"20210104","석유시장","KRD040114641","경-자가상표-성남(보)","A0003","100000","111000000","0","0"
"20210104","석유시장","KRD040114641","경-자가상표-성남(보)","B0002","0","0","100000","111000000"
"20210104","석유시장","KRD040124046","등-자가상표-성남","A0002","100000","65000000","0","0"
"20210104","석유시장","KRD040124046","등-자가상표-성남","C0016","0","0","100000","65000000"
"20210104","석유시장","KRD040124152","등-자가상표-천안","A0002","60000","39000000","0","0"
"20210104","석유시장","KRD040124152","등-자가상표-천안","C0016","0","0","60000","39000000"
"20210104","석유시장","KRD040124228","등-자가상표-여수(보)","A0003","1000000","610000000","0","0"
"20210104","석유시장","KRD040124228","등-자가상표-여수(보)","B0004","0","0","1000000","610000000"
"20210104","석유시장","KRD040124533","등-자가상표-동해옥계","A0002","100000","65000000","0","0"
"20210104","석유시장","KRD040124533","등-자가상표-동해옥계","C0016","0","0","100000","65000000"
"20210105","석유시장","KRD040104220","휘-자가상표-여수(보)","A0003","100000","131000000","0","0"
"20210105","석유시장","KRD040104220","휘-자가상표-여수(보)","B0004","0","0","100000","131000000"
"20210105","석유시장","KRD040104618","휘-자가상표-목포(보)","A0003","80000","104800000","0","0"
"20210105","석유시장","KRD040104618","휘-자가상표-목포(보)","B0004","0","0","80000","104800000"
"20210105","석유시장","KRD040114229","경-자가상표-여수(보)","A0003","320000","355200000","0","0"
"20210105","석유시장","KRD040114229","경-자가상표-여수(보)","B0004","0","0","320000","355200000"
"20210105","석유시장","KRD040114328","경-자가상표-울산(보)","A0003","180000","199800000","0","0"
"20210105","석유시장","KRD040114328","경-자가상표-울산(보)","B0002","0","0","180000","199800000"
"20210105","석유시장","KRD040114617","경-자가상표-목포(보)","A0003","180000","199800000","0","0"
"20210105","석유시장","KRD040114617","경-자가상표-목포(보)","B0004","0","0","180000","199800000"
