거래일자,시장구분명,종목코드,종목명,참가자번호(투자자구분코드),매도거래량,매도거래대금,매수거래량,매수거래대금
"20210104","금시장","KRD040200002","금 현물 99.99_1Kg","1000","16308","1099995670","13675","921805660"
"20210104","금시장","KRD040200002","금 현물 99.99_1Kg","4000","3076","207435930","6066","409177320"
"20210104","금시장","KRD040200002","금 현물 99.99_1Kg","7100","89822","6058907530","728","49107880"
"20210104","금시장","KRD040200002","금 현물 99.99_1Kg","8000","59143","3989290910","147855","9973852250"
"20210104","금시장","KRD040200002","금 현물 99.99_1Kg","9001","0","0","25","1686930"
"20210104","금시장","KRD040201000","미니금 현물 99.99_100g","1000","1027","69451870","0","0"
"20210104","금시장","KRD040201000","미니금 현물 99.99_100g","4000","102","6881350","1593","107690700"
"20210104","금시장","KRD040201000","미니금 현물 99.99_100g","7100","3221","217533100","15","1011900"
"20210104","금시장","KRD040201000","미니금 현물 99.99_100g","8000","600","40501940","3342","225665660"
"20210104","금시장","KRD040201000","미니금 현물 99.99_100g","9001","0","0","0","0"
"20210105","금시장","KRD040200002","금 현물 99.99_1Kg","1000","30962","2125220990","1903","130644510"
"20210105","금시장","KRD040200002","금 현물 99.99_1Kg","4000","7539","517509530","6998","480290420"
"20210105","금시장","KRD040200002","금 현물 99.99_1Kg","7100","63687","4369876440","914","62733870"
"20210105","금시장","KRD040200002","금 현물 99.99_1Kg","8000","71289","4893272000","163295","11206998300"
"20210105","금시장","KRD040200002","금 현물 99.99_1Kg","9001","14","960680","381","26172540"
"20210105","금시장","KRD040201000","미니금 현물 99.99_100g","1000","618","42400050","195","13393420"
"20210105","금시장","KRD040201000","미니금 현물 99.99_100g","4000","271","18587780","916","62855740"
"20210105","금시장","KRD040201000","미니금 현물 99.99_100g","7100","3917","268787930","0","0"
"20210105","금시장","KRD040201000","미니금 현물 99.99_100g","8000","821","56357090","4512","309609250"
"20210105","금시장","KRD040201000","미니금 현물 99.99_100g","9001","0","0","4","274440"
"20210106","금시장","KRD040200002","금 현물 99.99_1Kg","1000","40414","2797572350","1262","87413160"
"20210106","금시장","KRD040200002","금 현물 99.99_1Kg","4000","591","40871250","15388","1065407060"
"20210106","금시장","KRD040200002","금 현물 99.99_1Kg","7100","143832","9849702310","48673","3265640060"
"20210106","금시장","KRD040200002","금 현물 99.99_1Kg","8000","52301","3620069610","172049","11905908390"
"20210106","금시장","KRD040200002","금 현물 99.99_1Kg","9001","250","17260500","16","1107350"
"20210106","금시장","KRD040201000","미니금 현물 99.99_100g","1000","1894","130877190","780","53562320"
"20210106","금시장","KRD040201000","미니금 현물 99.99_100g","4000","294","20236320","793","54891180"
"20210106","금시장","KRD040201000","미니금 현물 99.99_100g","7100","1923","132807230","363","25106510"
"20210106","금시장","KRD040201000","미니금 현물 99.99_100g","8000","2938","202605150","5113","352965880"
"20210107","금시장","KRD040200002","금 현물 99.99_1Kg","1000","53730","3681665660","2472","169544310"
"20210107","금시장","KRD040200002","금 현물 99.99_1Kg","4000","60","4111540","26868","1841829920"
"20210107","금시장","KRD040200002","금 현물 99.99_1Kg","7100","125050","8539729770","35134","2374369720"
"20210107","금시장","KRD040200002","금 현물 99.99_1Kg","8000","43016","2949927180","157258","10781198000"
"20210107","금시장","KRD040200002","금 현물 99.99_1Kg","9001","0","0","124","8492200"
"20210107","금시장","KRD040201000","미니금 현물 99.99_100g","1000","1057","72347400","0","0"
"20210107","금시장","KRD040201000","미니금 현물 99.99_100g","4000","108","7389890","563","38521720"
"20210107","금시장","KRD040201000","미니금 현물 99.99_100g","7100","1074","73610000","0","0"
"20210107","금시장","KRD040201000","미니금 현물 99.99_100g","8000","1683","114980450","3359","229806020"
"20210108","금시장","KRD040200002","금 현물 99.99_1Kg","1000","38241","2626671100","1820","125173170"
"20210108","금시장","KRD040200002","금 현물 99.99_1Kg","4000","713","48998920","11168","766960080"
"20210108","금시장","KRD040200002","금 현물 99.99_1Kg","7100","102450","7005387200","48990","3341473450"
"20210108","금시장","KRD040200002","금 현물 99.99_1Kg","8000","54759","3761435840","134155","9206831550"
"20210108","금시장","KRD040200002","금 현물 99.99_1Kg","9001","74","5087400","104","7142210"
"20210108","금시장","KRD040201000","미니금 현물 99.99_100g","1000","400","27600200","0","0"
"20210108","금시장","KRD040201000","미니금 현물 99.99_100g","4000","201","13853600","454","31325930"
"20210108","금시장","KRD040201000","미니금 현물 99.99_100g","8000","2941","202826940","3088","212954810"
