거래일자,시장구분명,종목코드,종목명,참가자번호(투자자구분코드),매도거래량,매도거래대금,매수거래량,매수거래대금
"20210104","배출권시장","KRD050022007","2020년 배출권","7100","12000","276000000","12000","276000000"
"20210105","배출권시장","KRD050022007","2020년 배출권","7100","2000","46000000","2000","46000000"
"20210106","배출권시장","KRD050022007","2020년 배출권","7100","8800","199150000","8800","199150000"
"20210107","배출권시장","KRD050022007","2020년 배출권","7100","7724","165504000","7724","165504000"
"20210107","배출권시장","KRD052000001","외부사업 온실가스 감축량","7100","0","0","0","0"
"20210108","배출권시장","KRD050022007","2020년 배출권","7100","27500","570200000","27500","570200000"
"20210111","배출권시장","KRD050022007","2020년 배출권","7100","9500","184350000","9500","184350000"
"20210111","배출권시장","KRD052000001","외부사업 온실가스 감축량","7100","0","0","0","0"
"20210112","배출권시장","KRD050022007","2020년 배출권","7100","26844","509251600","26844","509251600"
"20210113","배출권시장","KRD050022007","2020년 배출권","7100","88502","1522417350","88502","1522417350"
"20210113","배출권시장","KRD052000001","외부사업 온실가스 감축량","7100","0","0","0","0"
"20210114","배출권시장","KRD050022007","2020년 배출권","7100","44100","725460000","44100","725460000"
"20210114","배출권시장","KRD050032105","2021년 배출권","7100","70000","1200500000","70000","1200500000"
"20210115","배출권시장","KRD050022007","2020년 배출권","7100","13200","205420000","13200","205420000"
"20210115","배출권시장","KRD050032105","2021년 배출권","7100","0","0","0","0"
"20210118","배출권시장","KRD050022007","2020년 배출권","7100","19200","333500000","19200","333500000"
"20210118","배출권시장","KRD050032105","2021년 배출권","7100","0","0","0","0"
"20210119","배출권시장","KRD050022007","2020년 배출권","7100","23154","417787400","23154","417787400"
"20210119","배출권시장","KRD050032105","2021년 배출권","7100","0","0","0","0"
"20210120","배출권시장","KRD050022007","2020년 배출권","7100","23500","435460000","23500","435460000"
"20210121","배출권시장","KRD050022007","2020년 배출권","7100","34746","671897600","34746","671897600"
"20210122","배출권시장","KRD050022007","2020년 배출권","7100","17480","379261000","17480","379261000"
"20210122","배출권시장","KRD050032105","2021년 배출권","7100","0","0","0","0"
"20210125","배출권시장","KRD050022007","2020년 배출권","7100","10705","230459000","10705","230459000"
"20210125","배출권시장","KRD050032105","2021년 배출권","7100","40000","840000000","40000","840000000"
"20210126","배출권시장","KRD050022007","2020년 배출권","7100","32366","677708400","32366","677708400"
"20210126","배출권시장","KRD050032105","2021년 배출권","7100","1000","21500000","1000","21500000"
"20210127","배출권시장","KRD050022007","2020년 배출권","7100","46200","930650000","46200","930650000"
"20210127","배출권시장","KRD050032105","2021년 배출권","7100","3000","67000000","3000","67000000"
"20210128","배출권시장","KRD050022007","2020년 배출권","7100","41985","840188500","41985","840188500"
"20210128","배출권시장","KRD050032105","2021년 배출권","7100","0","0","0","0"
"20210129","배출권시장","KRD050022007","2020년 배출권","7100","11000","213792800","11000","213792800"
"20210129","배출권시장","KRD050032105","2021년 배출권","7100","0","0","0","0"
